NACA_index,TSR,Cp,Cp_max,Cp_avg,TSR_min,TSR_max,radius,height,chord,num_blades,solidity
NACA_0012,2.8684,0.511683,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,3.1053,0.564285,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,3.3421,0.582941,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,3.5789,0.562582,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,3.8158,0.516577,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,4.0526,0.452034,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,4.2895,0.367479,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,4.5263,0.266276,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,4.7632,0.15552,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,5.0,0.047171,0.582941,0.284707,0.5,5.0,0.5,1.0,0.12,3,0.72
NACA_0012,0.5,0.00831,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,0.7368,0.017639,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,0.9737,0.032267,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,1.2105,0.054113,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,1.4474,0.084548,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,1.6842,0.124724,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,1.9211,0.175137,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,2.1579,0.235664,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,2.3947,0.305121,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,2.6316,0.380111,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,2.8684,0.454435,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,3.1053,0.521189,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,3.3421,0.570752,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,3.5789,0.592593,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,3.8158,0.589391,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,4.0526,0.565024,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,4.2895,0.525607,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,4.5263,0.47274,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,4.7632,0.405043,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,5.0,0.32454,0.592593,0.321947,0.5,5.0,0.5,1.0,0.15,2,0.6
NACA_0012,0.5,0.012243,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,0.7368,0.026009,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,0.9737,0.047625,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,1.2105,0.079922,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,1.4474,0.124811,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,1.6842,0.183583,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,1.9211,0.256276,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,2.1579,0.340222,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,2.3947,0.426682,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,2.6316,0.503067,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,2.8684,0.549168,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,3.1053,0.542139,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,3.3421,0.486399,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
NACA_0012,3.5789,0.397133,0.549168,0.259919,0.5,4.2895,0.5,1.0,0.15,3,0.9
